Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
305;Muzeum Ziemi ZawkrzeÒskiej w†M≥awie;06-500;M≥awa;M≥awa;m≥awski;MAZOWIECKIE;ul.;3 Maja ;5;;;;;;;;Miasto M≥awa;;;;;Samorzπdowe
306;Muzeum Ziemi Z≥otowskiej w Z≥otowie;77-400;Z≥otÛw;Stara Wiúniewka;z≥otowski;WIELKOPOLSKIE;ul.;Wojska Polskiego;2a;;;;;;;;Gmina Miasto Z≥otÛw ;;;;;Samorzπdowe
307;Muzeum ZiemiaÒstwa w Dobrzycy - ZespÛ≥ Pa≥acowo-Parkowy;63-330;Dobrzyca;Dobrzyca;pleszewski;WIELKOPOLSKIE;ul.;Pleszewska;5a;;;;;;;;WojewÛdztwo Wielkopolskie;;;;;Samorzπdowe
308;Oleskie Muzeum Regionalne w Oleúnie;46-300;Olesno;Sowczyce;oleski;OPOLSKIE;ul.;Jaronia;7;;;;;;;;Gmina Olesno;;;;;Samorzπdowe
309;Pa≥ac Schoena Muzeum w Sosnowcu ;41-205;Sosnowiec;Sosnowiec;m. Sosnowiec;åL•SKIE;ul.;Chemiczna;12;;;;;;;;Gmina Sosnowiec;;;;;Samorzπdowe
310;PaÒstwowe Muzeum Archeologiczne w Warszawie;00-241;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;D≥uga;52;;;;;;;;WojewÛdztwo Mazowieckie;;;;18.05.1998;Samorzπdowe
311;PaÒstwowe Muzeum Etnograficzne  w Warszawie;00-056;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Kredytowa;1;;;;;;;;WojewÛdztwo Mazowieckie;;;;06.07.1998;Samorzπdowe
312;Podlaskie Muzeum Kultury Ludowej (w organizacji);16-010;WasilkÛw ;Jurowce;bia≥ostocki;PODLASKIE;ul. ;Leúna ;7;;;;;;;;WojewÛdztwo Podlaskie;;;;;Samorzπdowe
313;Powiatowe Muzeum Ziemi G≥ubczyckiej w G≥ubczycach;48-100;G≥ubczyce;Zubrzyce;g≥ubczycki;OPOLSKIE;ul.;Rynek;1;;;;;;;;Powiat G≥ubczycki;;;;;Samorzπdowe
314;Skansen w Sidzinie-Muzeum Kultury Ludowej;34-236;Sidzina;Sidzina;suski;MA£OPOLSKIE;ul.;BinkÛwka;;;;;;;;;Gmina Bystra ñ Sidzina;;;;;Samorzπdowe
315;Wielkopolskie Muzeum Niepodleg≥oúci;61-772;PoznaÒ;PoznaÒ (PoznaÒ-Stare Miasto);m. PoznaÒ;WIELKOPOLSKIE;ul.;Stary Rynek;3;;;;;;;;Miasto PoznaÒ ;;;;;Samorzπdowe
316;Øywiecki Park Etnograficzny Muzeum (w organizacji);34-323;ålemieÒ;ålemieÒ;øywiecki;åL•SKIE;ul.;£πczna;2A;;;;;;;;Gmina ålemieÒ ;;;;;Samorzπdowe
317;Muzeum Dom Rodzinny Ojca åwiÍtego Jana Paw≥a II w Wadowicach;34-100;Wadowice;Stronie;wadowicki;MA£OPOLSKIE;ul.;Koúcielna;7;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; Archidiecezja Krakowska; WojewÛdztwo Ma≥opolskie; Gmina Wadowice;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
318;Muzeum - Dom Rodziny Pileckich w Ostrowi Mazowieckiej (w organizacji) ;07-300;OstrÛw Mazowiecka;OstrÛw Mazowiecka;ostrowski;MAZOWIECKIE;ul.;Warszawska;4;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;Miasto OstrÛw Mazowiecka;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
319;Muzeum Historii ØydÛw Polskich;00-157;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Anielewicza;6;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; Miasto Sto≥eczne Warszawa; Stowarzyszenie Øydowski Instytut Historyczny w Polsce;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
320;Muzeum Jana Paw≥a II i Prymasa WyszyÒskiego;02-972;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;KsiÍdza Prymasa Augusta Hlonda;1;;;;;;;;Archidiecezja Warszawska; Minister Kultury i Dziedzictwa Narodowego ;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
321;Muzeum JÛzefa Pi≥sudskiego w SulejÛwku;05-070;SulejÛwek;SulejÛwek;miÒski;MAZOWIECKIE;ul.;OleandrÛw;5;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; Fundacja Rodziny JÛzefa Pi≥sudskiego;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
322;Muzeum Literatury im. Adama Mickiewicza  w Warszawie;00-272;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Rynek Starego Miasta ;20;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Mazowieckie;;;25.01.2001;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
323;Muzeum Lubelskie w Lublinie;20-117;Lublin;Lublin;m. Lublin;LUBELSKIE;ul.;Zamkowa ;9;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Lubelskie;;;28.12.1998;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
324;Muzeum Narodowe w GdaÒsku;80-822;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;ToruÒska;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Pomorskie;;;18.12.2003;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
325;Muzeum Narodowe w Kielcach;25-010;Kielce;Kielce;m. Kielce;åWI TOKRZYSKIE;Plac ;Zamkowy ;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo åwiÍtokrzyskie;;;22.05.2000;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
326;Muzeum Narodowe w Szczecinie;70-561;Szczecin;Szczecin;m. Szczecin;ZACHODNIO-POMORSKIE;ul.;Starom≥yÒska;27;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Zachodniopomorskie;;;31.01.2011;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
327;Muzeum Narodowe we Wroc≥awiu;50-153;Wroc≥aw;Wroc≥aw (Wroc≥aw-Stare Miasto);m. Wroc≥aw;DOLNOåL•SKIE;Pl. ;PowstaÒcÛw Warszawy;5;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Dolnoúlπskie;;;26.06.2012;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
328;Muzeum PiastÛw ålπskich w Brzegu;49-300;Brzeg;Brzeg;brzeski;OPOLSKIE;Plac ;Zamkowy ;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Opolskie; Powiat Brzeski;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
329;Muzeum PolakÛw Ratujπcych ØydÛw podczas II wojny úwiatowej im. Rodziny UlmÛw w Markowej ;37-120 ;Markowa ;Markowa ;≥aÒcucki;PODKARPACKIE;;;1487;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;WojewÛdztwo Podkarpackie ;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
330;Muzeum PRL ñ u  (w organizacji);31-934;KrakÛw;KrakÛw (KrakÛw-Nowa Huta);m. KrakÛw;MA£OPOLSKIE;os. ;Centrum ;E1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; Gmina Miejska KrakÛw;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
331;Muzeum Sztuki Nowoczesnej w Warszawie;00-124;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;PaÒska;3;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; Miasto Sto≥eczne Warszawa;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
332;Muzeum Sztuki w £odzi;90-734;£Ûdü;£Ûdü (£Ûdü-Polesie);m. £Ûdü;£”DZKIE;ul.;WiÍckowskiego;36;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo £Ûdzkie;;;28.12.1998;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
333;Muzeum ålπskie w Katowicach;40-205;Katowice;Katowice;m. Katowice;åL•SKIE;ul.;T. Dobrowolskiego ;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo ålπskie;;;07.07.2006;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
334;Muzeum-Zamek w £aÒcucie;37-100;£aÒcut;£aÒcut;≥aÒcucki;PODKARPACKIE;ul.;Zamkowa ;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; WojewÛdztwo Podkarpackie;;;28.12.1998;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez Ministra Kultury i Dziedzictwa Narodowego
335;Muzeum Øo≥nierzy WyklÍtych w†Ostro≥Íce (w organizacji);07-410;Ostro≥Íka;Ostro≥Íka;m. Ostro≥Íka;MAZOWIECKIE;ul.;Traugutta;19;;;;;;;;Minister Kultury i Dziedzictwa Narodowego; Miasto Ostro≥Íka ;;;;WspÛ≥prowadzone wpisane do rejestru prowadzonego przez jednostkÍ samorzπdu terytorialnego
336;Muzeum II Wojny åwiatowej w GdaÒsku ;80-862;GdaÒsk;GdaÒsk;m. GdaÒsk;POMORSKIE;Plac;W≥adys≥awa Bartoszewskiego;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;15.07.2011;PaÒstwowe
337;Muzeum Historii Polski w Warszawie ;00-560;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Mokotowska (siedziba tymczasowa);33;35;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;;PaÒstwowe
338;"Muzeum £azienki KrÛlewskie w Warszawie
";00-460;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Agrykoli;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;06.07.1998;PaÒstwowe
339;"Muzeum £owiectwa i Jeüdziectwa w Warszawie
";00-464;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;SzwoleøerÛw;9;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;18.05.1998;PaÒstwowe
340;Muzeum Marynarki Wojennej w Gdyni;81-374;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Zawiszy Czarnego;1b;;;;;;;;Minister Obrony Narodowej;;;;;PaÒstwowe
341;Muzeum Narodowe w Krakowie;30-062;"KrakÛw 
";KrakÛw (KrakÛw-Krowodrza);m. KrakÛw;MA£OPOLSKIE;ul.;3 Maja ;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;18.05.1998;PaÒstwowe
342;Muzeum Narodowe w Poznaniu;61-745;PoznaÒ ;PoznaÒ (PoznaÒ-Stare Miasto);m. PoznaÒ;WIELKOPOLSKIE;Aleja;Karola Marcinkowskiego;9;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;30.08.2004;PaÒstwowe
343;Muzeum Narodowe w Warszawie;00-495;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;Aleje ;Jerozolimsie ;3;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;06.07.1998;PaÒstwowe
344;"Muzeum Pa≥acu KrÛla Jana III w Wilanowie
";02-958;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Stanis≥awa Kostki Potockiego;10;16;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;28.12.1998;PaÒstwowe
345;Muzeum Si≥ Powietrznych w DÍblinie;08-521;"DÍblin 
";DÍblin (Lotnisko);rycki;LUBELSKIE;ul.;Dywizjonu 303;12;;;;;;;;Minister Obrony Narodowej;;;;;PaÒstwowe
346;Muzeum Stutthof w Sztutowie;82-110;Sztutowo;Kπty Rybackie;nowodworski;POMORSKIE;ul.;Muzealna ;6;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;28.12.1998;PaÒstwowe
347;Muzeum Sztuki i Techniki JapoÒskiej MANGGHA ;30-302;"KrakÛw 
";KrakÛw (KrakÛw-PodgÛrze);m. KrakÛw;MA£OPOLSKIE;ul.;Marii Konpnickiej;26;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;21.08.2013;PaÒstwowe
348;Muzeum Wojsk Lπdowych w Bydgoszczy;85-641;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;Czerkaska;2;;;;;;;;Minister Obrony Narodowej;;;;;PaÒstwowe
349;Muzeum Wojska Polskiego w Warszawie;00-495;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;Aleje ;Jerozolmskie;3;;;;;;;;Minister Obrony Narodowej;;;;28.12.1999;PaÒstwowe
350;Muzeum Zamkowe w Malborku;82-200;"Malbork 
";Malbork;malborski;POMORSKIE;ul.;StaroúciÒska;1;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;06.07.1998;PaÒstwowe
351;Muzeum Øup Krakowskich Wieliczka w Wieliczce ;32-020;Wieliczka;Trπbki;wielicki;MA£OPOLSKIE;ul.;Zamkowa ;8;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;18.05.1998;PaÒstwowe
352;Narodowe Muzeum Morskie w GdaÒsku;80-751;"GdaÒsk 
";GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;O≥owianka;9-;13;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;28.12.1999;PaÒstwowe
353;"PaÒstwowe Muzeum Auschwitz-Birkenau w OúwiÍcimiu
";32-603;OúwiÍcim;OúwiÍcim;oúwiÍcimski;MA£OPOLSKIE;ul.;WiÍüniÛw OúwiÍcimia ;20;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;06.07.1998;PaÒstwowe
354;PaÒstwowe Muzeum na Majdanku w Lublinie;20-325;"Lublin 
";Lublin;m. Lublin;LUBELSKIE;ul.;Droga MÍczennikÛw Majdanka ;67;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;06.07.1998;PaÒstwowe
355;"Zamek KrÛlewski na Wawelu ñ PaÒstwowe Zbiory Sztuki 
";31-001;KrakÛw;KrakÛw (KrakÛw-årÛdmieúcie);m. KrakÛw;MA£OPOLSKIE;ul.;Wawel;5;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;06.07.1998;PaÒstwowe
356;"Zamek KrÛlewski w Warszawie ñ Muzeum. Rezydencja KrÛlÛw i Rzeczypospolitej 
";00-277;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;pl. ;Zamkowy ;4;;;;;;;;Minister Kultury i Dziedzictwa Narodowego;;;;18.05.1998;PaÒstwowe
357;Muzeum Archidiecezjalne Kardyna≥a Karola Wojty≥y ;"31-002 

";"KrakÛw 
";KrakÛw;m. KrakÛw;MA£OPOLSKIE;ul.;Kanonicza;19-;21;;;;;;;Archidiecezja Krakowska;;;;;Koúcielne
358;Muzeum b≥. Ojca Stanis≥awa PapczyÒskiego w GÛrze Kalwarii;"05-330

";" GÛra Kalwaria ( Dom Zakonny Zgromadzenia KsiÍøy MarianÛw pod wezwaniem b≥. Ojca Stanis≥aw PapczyÒskiego w GÛrze Kalwarii)


";GÛra Kalwaria;piaseczyÒski;MAZOWIECKIE;ul.;Stanis≥awa PapczyÒskiego ;5A;;;;;;;;Prowincja Polska Zgromadzenia KsiÍøy MarianÛw pod wezwaniem Niepokalanego PoczÍcia NajúwiÍtszej Marii Panny z siedzibπ w Warszawie ;;;;;Koúcielne
359;"Muzeum Diecezjalne w Drohiczynie im. Jana Paw≥a II
";17-312;"Drohiczyn

";Drohiczyn;siemiatycki;PODLASKIE;ul. ;Kraszewskiego;4;;;;;;;;Diecezja  DrohiczyÒska ;;;;;Koúcielne
360;"Muzeum Diecezjalne w Siedlcach
";"08-110 
";" Siedlce

";Siedlce;m. Siedlce;MAZOWIECKIE;ul.;Biskupa I. åwirskiego ;56;;;;;;;;Diecezja Siedlecka;;;;;Koúcielne
361;Muzeum Diecezji Elblπskiej;82-300;"Elblπg

";Nowakowo;elblπski;WARMI—SKO-MAZURSKIE;ul.;Mostowa ;14-;16;;;;;;;Diecezja Elblπska;;;;;Koúcielne
362;Muzeum im. KsiÍdza Walentego ålusarczyka przy Opactwie O.O. CysterÛw w Wπchocku (w organizacji);27-215;Wπchock ;Wπchock;starachowicki;åWI TOKRZYSKIE;ul. ;Koúcielna;14;;;;;;;;Opactwo OjcÛw CystersÛw w Wπchocku ;;;;;Koúcielne
363;Muzeum im. úw. Jana Paw≥a II w organizacji ;75-016;Koszalin (Centrum Pielgrzymkowo - Turystyczne przy Domu Zakonnym - GÛra Che≥mska);Biesiekierz;koszaliÒski;ZACHODNIO-POMORSKIE;ul.;S≥upska;1;;;;;;;;Szensztacki Instytut SiÛstr Maryi (ISSM);;;;;Koúcielne
364;Muzeum Markowieckiego Sanktuarium ;"88-320          
";"Strzelno       
";Strzelno;mogileÒski;KUJAWSKO-POMORSKIE;;Markowice;5;;;;;;;;Parafia Rzymskokatolicka pw. Nawiedzenia NajúwiÍtszej Maryi Panny w Markowicach;;;;;Koúcielne
365;Muzeum Misyjne SiÛstr Klawerianek w Kroúnie;"38-400
";"Krosno
";Krosno;kroúnieÒski;PODKARPACKIE;ul.;£ukasiewicza;62;;;;;;;;Zgromadzenie SiÛstr Misjonarek åw. Piotra Klawera w Kroúnie;;;;;Koúcielne
366;Muzeum Prawos≥awnej Diecezji Lubelsko-Che≥mskiej;21-526 ;"Jab≥eczna 
";S≥awatycze;bialski;LUBELSKIE;ul.;Jab≥eczna;1;;;;;;;;Prawos≥awna Diecezja Lubelsko-Che≥mska ;;;;;Koúcielne
367;Muzeum Reformacji Polskiej w Miko≥ajkach;11-730; Miko≥ajki;Miko≥ajki;mrπgowski;WARMI—SKO-MAZURSKIE;ul.;Plac Koúcielny ;5;;;;;;;;Zgromadzenie Parafialne Parafii Ewangelicko-Augsburskiej                           åw. TrÛjcy w Miko≥ajkach;;;;;Koúcielne
368;Muzeum Warszawskiej Metropolii Prawos≥awnej w Warszawie ;03-403;Warszawa ;Warszawa (Praga-PÛ≥noc);m. st. Warszawa;MAZOWIECKIE;ul.;úw. Cyryla i Metodego ;4;;;;;;;;Warszawska Metropolia Prawos≥awna;;;;;Koúcielne
369;Chojnickie Muzeum Motoryzacji i Techniki (w organizacji);89-600;Chojnice;Chojnice;chojnicki;POMORSKIE;ul.;Stary Rynek;18;19;;;;;;;Liliana Helta; Jordan Rolbiecki ;;;;Utworzone przez osoby fizyczne
370;Chotomowskie Muzeum Techniki Wojskowej w Chotomowie;05-123;ChotomÛw;ChotomÛw;legionowski;MAZOWIECKIE;ul.;Baúniowa;1;;;;;;;;Marcin PtaszyÒski;;;;;Utworzone przez osoby fizyczne
371;Ekomuzeum Olejarstwa w Zadnodze Olejarnia Staropolska na Roztoczu  (w organizacji);22-610;Krynice;Krynice;tomaszowski;LUBELSKIE;;Zadnoga;19;;;;;;;;Anna Ko≥odziej;;;;;Utworzone przez osoby fizyczne
372;Falenickie Muzeum Historyczne (w organizacji);04-921;Warszawa - Falenica;Warszawa (Wawer);m. st. Warszawa;MAZOWIECKIE;ul.;Biernacka;12;;;;;;;;Pawe≥ Szewczak;;;;;Utworzone przez osoby fizyczne
373;Kolbuszowskie Muzeum Techniki Militarnej i Uøytkowej  (w†organizacji);36-100;Kolbuszowa;Kolbuszowa;kolbuszowski;PODKARPACKIE;ul.;P. Por. Sawy;76;;;;;;;;Zdzis≥aw Smyrski ;;;;;Utworzone przez osoby fizyczne
374;KwidzyÒskie Muzeum Rod≥a  (w organizacji);82-500;Kwidzyn;Kwidzyn;kwidzyÒski;POMORSKIE;ul.;Graniczna;36;;;;;;;;Jacek Synakiewicz;;;;;Utworzone przez osoby fizyczne
375;Lokalne Muzeum Techniki Wojskowej i Cywilnej (w organizacji);05-270;Marki;Marki (Czarna Struga);wo≥omiÒski;MAZOWIECKIE;ul.;Zieleniecka;47;;;;;;;;Krzysztof Gendek;;;;;Utworzone przez osoby fizyczne
376;Ma≥e Muzeum Ludowe u Kowalskich ;55-100;Trzebnica;Paw≥Ûw Trzebnicki;trzebnicki;DOLNOåL•SKIE;;Marcinowo;2;;;;;;;;Marian Kowalski ;;;;;Utworzone przez osoby fizyczne
377;Muzeum Afryki w Sobanicach ;09-162;Nacpolsk;Nacpolsk;p≥oÒski;MAZOWIECKIE;;Sobanice;45A;;;;;;;;Marta Ko≥odziej ;;;;;Utworzone przez osoby fizyczne
378;Muzeum Archeologii PÛl Bitewnych Twierdzy Przemyúl w Przemyúlu (w organizacji) ;37-700;Przemyúl ;Przemyúl ;przemyski;PODKARPACKIE;ul. ;ZieliÒskiego ;14;7A;;;;;;;Jacek Dzik ;;;;;Utworzone przez osoby fizyczne 
379;Muzeum ñ Archeoskansen grodu warownego  z X w. (w†organizacji);43-246;StrumieÒ;Pruchna;cieszyÒski;åL•SKIE;ul.;Graniczna dz. ;1162;1;;;;;;;Sylwester Zalewski ;;;;;Utworzone przez osoby fizyczne
380;Muzeum BohaterÛw Wrzeúnia 1939 im. Jerzego Waszkiewicza (w organizacji);00-132;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Grzybowska;16;22 m. 1525;;;;;;;Dominik Waszkiewicz;;;;;Utworzone przez osoby fizyczne
381;Muzeum Broni i MilitariÛw w†Lubawie (w organizacji);14-260;Lubawa;Lubawa;i≥awski;WARMI—SKO-MAZURSKIE;ul.;Przemys≥owa;2;;;;;;;;Jaros≥aw Kijewski;;;;;Utworzone przez osoby fizyczne
382;Muzeum Broni i MilitariÛw w Przasnyszu (w organizacji);06-300;"Przasnysz
ul. Glinki 8";Przasnysz;przasnyski;MAZOWIECKIE;ul.;Glinki;8;;;;;;;;Daniel Duchnowski;;;;;Utworzone przez osoby fizyczne
383;Muzeum Broni i Wyposaøenia Piechoty w Warszawie (w organizacji);02-755;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Alternatywy;4;120;;;;;;;Maciej Tylski ;;;;;Utworzone przez osoby fizyczne
384;Muzeum Broni w Stanis≥awowie (w organizacji);59-424;Stanis≥awÛw ;MÍcinka ;jaworski ;DOLNOåL•SKIE;; ;41;2;;;;;;;Przemys≥aw Kusek ;;;;;Utworzone przez osoby fizyczne 
385;Muzeum Bursztynu w Warszawie w organizacji ;00-272;Warszawa ;Warszawa ;m.st. Warszawa ;MAZOWIECKIE;;Rynek Starego Miasta ;4;6;;;;;;;Boøena Agata Ca≥ka ;Stanis≥aw Krzysztof Ca≥ka ;;;;Utworzone przez osoby fizyczne 
386;Muzeum Czynu Zbrojnego w Lipcach Reymontowskich;96-127;Lipce Reymontowskie;Lipce Reymontowskie;skierniewicki;£”DZKIE;ul.;Reymonta;22;;;;;;;;Jerzy Murgrabia;;;;;Utworzone przez osoby fizyczne
387;Muzeum Czynu Zbrojnego Øywiecczyzny  w Øywcu;34-300;Øywiec;Øywiec;øywiecki;åL•SKIE;ul.;Wolnoúci;4;;;;;;;;Artur Caputa; Mariusz Tomaszek; Miros≥aw AugustyÒski;;;Utworzone przez osoby fizyczne
388;Muzeum DewocjonaliÛw i Rzeczy Osobistych w Ostrowi Mazowieckiej (w organizacji);07-300;OstrÛw Mazowiecka;OstrÛw Mazowiecka;ostrowski;MAZOWIECKIE;ul. ;Antoniego Ba≥dygi;12;;;;;;;;Aneta Øy≥owska ;Cezary  £ukasik ;;;;Utworzone przez osoby fizyczne 
389;Muzeum 4 Pu≥ku StrzelcÛw PodhalaÒskich;43-400;Cieszyn;Cieszyn;cieszyÒski;åL•SKIE;ul.;Frysztacka;2;;;;;;;;Krzysztof Neúcior;;;;;Utworzone przez osoby fizyczne
390;Muzeum II Korpusu Polskiego w JÛzefowie;05-420;JÛzefÛw;JÛzefÛw;otwocki;MAZOWIECKIE;ul.;Kasztanowa;6;;;;;;;;Mariusz Niewiedzielski;;;;;Utworzone przez osoby fizyczne
391;Muzeum II Wojny åwiatowej w Lubiszynie  (w organizacji);66-433;Lubiszyn;Lubiszyn;gorzowski;LUBUSKIE;ul.;Polna;1;;;;;;;;Jan Lewek;;;;;Utworzone przez osoby fizyczne
392;Muzeum Dawnej Wsi ,,Domek Tkaczkiî;26-120;Bliøyn;Bliøyn;skarøyski;åWI TOKRZYSKIE;ul.;Zafabryczna;35;;;;;;;;Urszula JÍdrzejczyk; Grzegorz JÍdrzejczyk ;;;;Utworzone przez osoby fizyczne
393;Muzeum Dolina Psarki ;27-225;Paw≥Ûw;åwiÍtomarz;starachowicki;åWI TOKRZYSKIE;ul.;Tarczek;24;;;;;;;;Micha≥ Sokalski ;;;;;Utworzone przez osoby fizyczne
394;Muzeum DwÛr FeillÛw ;32-420;GdÛw;GdÛw;wielicki;MA£OPOLSKIE;;ZrÍczyce;51;;;;;;;;Aneta Tyl; Krzysztof Tyl;;;;Utworzone przez osoby fizyczne
395;Muzeum Dziedzictwa Kulturowego  (w organizacji);80-410;Szczecin;GdaÒsk;m. GdaÒsk;POMORSKIE;ul.;úw. Wojciecha;1;;;;;;;;Wojciech Lizak; Karol Lizak;;;;Utworzone przez osoby fizyczne
396;Muzeum 3 Dywizji Piechoty LegionÛw w Zamoúciu (w†organizacji);22-400;ZamoúÊ;ZamoúÊ;m. ZamoúÊ;LUBELSKIE;ul.;BohaterÛw Monte Cassino;5;22;;;;;;;Maciej PodgÛrski ;;;;;Utworzone przez osoby fizyczne
397;Muzeum Eksploracji w Przeümierowie;62-081;Przeümierowo;Dπbrowa;poznaÒski;WIELKOPOLSKIE;ul.;Sk≥adowa;40A;;;;;;;;Zygmunt Adamski; Piotr Lewandowski;;;;Utworzone przez osoby fizyczne
398;Muzeum Elwiro Micha≥a Andriollego;05-410;JÛzefÛw;JÛzefÛw;otwocki;MAZOWIECKIE;ul.;S≥oneczna;20;;;;;;;;Robert Lewandowski;;;;;Utworzone przez osoby fizyczne
