Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
124;Muzeum Narodowe Ziemi Przemyskiej w Przemyúlu;37- 700;Przemyúl;Przemyúl;m. Przemyúl;PODKARPACKIE;pl.;P≥k. Berka Joselewicza;1;;;;;;;;WojewÛdztwo Podkarpackie ;;;;22.02.2007;Samorzπdowe
125;Muzeum Niepodleg≥oúci w Warszawie;00-240;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;al.;Solidarnoúci;62;;;;;;;;WojewÛdztwo Mazowieckie;;;;18.05.1998;Samorzπdowe
126;Muzeum Niepo≥omickie w Niepo≥omicach;32-005;Niepo≥omice;Niepo≥omice;wielicki;MA£OPOLSKIE;ul.;Zamkowa;2;;;;;;;;Gmina Niepo≥omice;;;;;Samorzπdowe
127;Muzeum ObozÛw Jenieckich w Øaganiu ;68-100;ØagaÒ;Brzeünica;øagaÒski;LUBUSKIE;ul.;LotnikÛw Alianckich;6;;;;;;;;Miasto ØagaÒ;;;;;Samorzπdowe
128;Muzeum OkrÍgowe im. Leona WyczÛ≥kowskiego w Bydgoszczy;85-006;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;GdaÒska;4;;;;;;;;Miasto Bydgoszcz;;;;30.12.2009;Samorzπdowe
129;Muzeum OkrÍgowe im. Stanis≥awa Staszica w Pile;64-920;Pi≥a;Pi≥a;pilski;WIELKOPOLSKIE;ul.;Browarna;5;;;;;;;;WojewÛdztwo Wielkopolskie;;;;28.12.1998;Samorzπdowe
130;Muzeum OkrÍgowe w Koninie;62-505;Konin;Konin;m. Konin;WIELKOPOLSKIE;ul.;Muzealna;5;;;;;;;;WojewÛdztwo Wielkopolskie;;;;;Samorzπdowe
131;Muzeum OkrÍgowe w Lesznie;64-100;Leszno;Leszno;m. Leszno;WIELKOPOLSKIE;pl.;Jana Metziga;17;;;;;;;;WojewÛdztwo Wielkopolskie;;;;30.12.2008;Samorzπdowe
132;Muzeum OkrÍgowe w Nowym Sπczu;33-300;Nowy Sπcz;Nowy Sπcz;m. Nowy Sπcz;MA£OPOLSKIE;ul.;Lwowska;3;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;07.07.2006;Samorzπdowe
133;Muzeum OkrÍgowe w Rzeszowie;35-030;RzeszÛw;RzeszÛw;m. RzeszÛw;PODKARPACKIE;ul.;3 Maja ;19;;;;;;;;WojewÛdztwo Podkarpackie ;;;;18.05.1998;Samorzπdowe
134;Muzeum OkrÍgowe w Sandomierzu;27-600;Sandomierz;Sandomierz;sandomierski;åWI TOKRZYSKIE;ul.;Zamkowa;12;;;;;;;;Miasto Sandomierz;WojewÛdztwo åwiÍtokrzyskie;Powiat Sandomierski ;;28.12.1999;Samorzπdowe
135;Muzeum OkrÍgowe w Sieradzu;98-200;Sieradz;Sieradz;sieradzki;£”DZKIE;ul.;DominikaÒska;2;;;;;;;;Powiat Sieradzki ;;;;;Samorzπdowe
136;Muzeum OkrÍgowe w Suwa≥kach;16-400;Suwa≥ki;Suwa≥ki;m. Suwa≥ki;PODLASKIE;ul.;T. Koúciuszki;81;;;;;;;;Miasto Suwa≥ki;;;;"12.02.2014 r.
";Samorzπdowe
137;Muzeum OkrÍgowe w Tarnowie;33-100;TarnÛw;TarnÛw;m. TarnÛw;MA£OPOLSKIE;ul.;Rynek;3;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;28.11.2002;Samorzπdowe
138;Muzeum OkrÍgowe w Toruniu;87-100;ToruÒ;ToruÒ;m. ToruÒ;KUJAWSKO-POMORSKIE;ul.;Rynek Staromiejski;1;;;;;;;;Gmina Miasta ToruÒ;;;;28.12.1998;Samorzπdowe
139;Muzeum OkrÍgowe Ziemi Kaliskiej w†Kaliszu;62-800;Kalisz;Kalisz;kaliski;WIELKOPOLSKIE;ul.;T. Koúciuszki;12;;;;;;;;WojewÛdztwo Wielkopolskie;;;;28.12.1998;Samorzπdowe
140;Muzeum - Orawski Park Etnograficzny  w Zubrzycy GÛrnej;34-484;Zubrzyca GÛrna;Zubrzyca GÛrna;nowotarski;MA£OPOLSKIE;;Zubrzyca GÛrna;388;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;31.01.2011;Samorzπdowe
141;Muzeum OrÍøa Polskiego w Ko≥obrzegu;78-100;Ko≥obrzeg;Ko≥obrzeg;ko≥obrzeski;ZACHODNIO-POMORSKIE;ul.;Armii Krajowej;13;;;;;;;;Powiat Ko≥obrzeski;;;;18.05.1998;Samorzπdowe
142;Muzeum PamiÍci Narodowej i Sztuki Ludowej w Ochotnicy GÛrnej  (w†organizacji);34-453;Ochotnica Dolna;Ochotnica Dolna;nowotarski;MA£OPOLSKIE;oú. ;Zawady;205 B;;;;;;;;Gmina Ochotnica Dolna ;;;;;Samorzπdowe
143;Muzeum Pamiπtek 1. Armii Wojska Polskiego oraz DziejÛw Ziemi Mieszkowickiej w Mieszkowicach;74-505;Mieszkowice;Mieszkowice;gryfiÒski;ZACHODNIO-POMORSKIE;ul.;Chopina;1;;;;;;;;Gmina Mieszkowice;;;;;Samorzπdowe
144;Muzeum PamiÍci Sybiru - Muzeum w organizacji;15-092;Bia≥ystok;Bia≥ystok;m. Bia≥ystok;PODLASKIE;ul. ;H. Sienkiewicza;26;;;;;;;;Miasto Bia≥ystok ;;;;;Samorzπdowe
145;Muzeum Papiernictwa w Dusznikach Zdroju;57-340;Duszniki ZdrÛj;Duszniki-ZdrÛj;k≥odzki;DOLNOåL•SKIE;ul.;K≥odzka;42;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;28.06.2013 ;Samorzπdowe
146;Muzeum Pierwszych PiastÛw na Lednicy;62-261;LednogÛra;Imielenko;gnieünieÒski;WIELKOPOLSKIE;ul.;Dziekanowice;32;;;;;;;; WojewÛdztwo Wielkopolskie;;;;28.12.1999;Samorzπdowe
147;Muzeum Piúmiennictwa i Muzyki Kaszubsko-Pomorskiej w Wejherowie;84-200;Wejherowo;Boøepole Wielkie;wejherowski;POMORSKIE;ul.;Zamkowa;2a;;;;;;;;Powiat Wejherowski;WojewÛdztwo Pomorskie;;;07.07.2006;Samorzπdowe
148;Muzeum PoczπtkÛw PaÒstwa Polskiego  w Gnieünie;62-200;Gniezno;Gniezno;gnieünieÒski;WIELKOPOLSKIE;ul.;Kostrzewskiego;1;;;;;;;;WojewÛdztwo Wielkopolskie;;;;06.07.1998;Samorzπdowe
149;Muzeum Poczty i Telekomunikacji we Wroc≥awiu;50-954;Wroc≥aw;Wroc≥aw;wroc≥awki;DOLNOåL•SKIE;ul.;Z. KrasiÒskiego;1;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;;Samorzπdowe
150;Muzeum Podkarpackie w Kroúnie;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Pi≥sudskiego;16;;;;;;;;WojewÛdztwo Podkarpackie ;;;;18.12.2003;Samorzπdowe
151;Muzeum Podlaskie w Bia≥ymstoku;15-426;Bia≥ystok;Bia≥ystok;m. Bia≥ystok;PODLASKIE;ul.;Rynek Koúciuszki;10;;;;;;;;WojewÛdztwo Podlaskie;;;;18.12.2003;Samorzπdowe
152;Muzeum Pogranicza ålπsko ñ £uøyckiego w Øarach ;68-200;Øary;Nowe Czaple;øarski;LUBUSKIE;ul.;Ogrodowa;2;;;;;;;;Gmina Øary ;;;;;Samorzπdowe
153;Muzeum Pojezierza £ÍczyÒsko-W≥odawskiego we W≥odawie;22-200;W≥odawa;W≥odawa;w≥odawski;LUBELSKIE;ul.;Czerwonego Krzyøa;7;;;;;;;;Powiat W≥odawski;;;;;Samorzπdowe
154;Muzeum Pojezierza Myúliborskiego w Myúliborzu;74-300;MyúlibÛrz;MyúlibÛrz;myúliborski;ZACHODNIO-POMORSKIE;ul.;BohaterÛw Warszawy;74;;;;;;;;Gmina MyúlibÛrz ;;;;;Samorzπdowe
155;Muzeum Polskiej Piosenki w Opolu  (w†organizacji);45ñ040;Opole;Opole;m. Opole;OPOLSKIE;pl.;Miko≥aja Kopernika;1;;;;;;;;Miasto Opole;;;;;Samorzπdowe
156;Muzeum Po≥udniowego Podlasia w†Bia≥ej Podlaskiej;21-500;Bia≥a Podlaska;Hrud;bialski;LUBELSKIE;ul.;Warszawska;12;;;;;;;;Gmina Miejska Bia≥a Podlaska ;;;;28.12.1998;Samorzπdowe
157;Muzeum Pomorza årodkowego w†S≥upsku;76-200;S≥upsk;S≥upsk;m. S≥upsk;POMORSKIE;ul.;DominikaÒska;5;-9;;;;;;;WojewÛdztwo Pomorskie ;;;;06.07.1998;Samorzπdowe
158;Muzeum Powstania Warszawskiego;00-844;Warszawa;Warszawa (Wola);m. st. Warszawa;MAZOWIECKIE;ul.;Grzybowska;79;;;;;;;;Miasto Sto≥eczne Warszawa;;;;21.09.2005;Samorzπdowe
159;Muzeum PowstaÒ ålπskich w†åwiÍtoch≥owicach ;41-600;åwiÍtoch≥owice;åwiÍtoch≥owice;m. åwiÍtoch≥owice;åL•SKIE;ul.;Szpitalna;2;;;;;;;;Gmina åwiÍtoch≥owice ;;;;;Samorzπdowe
160;Muzeum Poøarnictwa w Oseredku ;22-672 ;Susiec;Susiec;tomaszowski;LUBELSKIE;;Oseredek;123;;;;;;;;Gmina Susiec;;;;;Samorzπdowe
161;Muzeum PÛ≥nocno ñ Mazowieckie w†£omøy;18-400;£omøa;£omøa;m. £omøa;PODLASKIE;ul.;Dworna;22C;;;;;;;;Miasto £omøa ;;;;15.07.2011;Samorzπdowe
162;Muzeum Przyrodnicze w Jeleniej GÛrze;58-560;Jelenia GÛra;Wojcieszyce;jeleniogÛrski;DOLNOåL•SKIE;ul.;Cieplicka;11A;;;;;;;;Miasto Jelenia GÛra ;;;;;Samorzπdowe
163;Muzeum Przyrody w Drozdowie;18-421;Piπtnica;Drozdowo;≥omøyÒski;PODLASKIE;ul.;G≥Ûwna;38;;;;;;;;Powiat £omøyÒski ;;;;;Samorzπdowe
164;Muzeum Przyrody i Techniki Ekomuzeum im. Jana Pazdura w Starachowicach;27-200;Starachowice;Starachowice;starachowicki;åWI TOKRZYSKIE;ul.;Wielkopiecowa;1;;;;;;;;Powiat Starachowicki ;;;;;Samorzπdowe
165;Muzeum Puszczy Drawskiej i Noteckiej im. Franciszka Grasia w Drezdenku;66-530;Drezdenko;Drezdenko;strzelecko-drezdenecki;LUBUSKIE;pl.;Wolnoúci;11;;;;;;;;Gmina Drezdenko ;;;;;Samorzπdowe
166;Muzeum Regionalne im. Adama Fastnachta w Brzozowie;36-200;BrzozÛw;BrzozÛw;brzozowski;PODKARPACKIE;ul.;Rynek;10;;;;;;;;Gmina BrzozÛw;;;;;Samorzπdowe
167;Muzeum Regionalne im. dr. Henryka Florkowskiego w Koúcianie;64-000;Koúcian;Koúcian;koúciaÒski;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Miejska Koúcian;;;;;Samorzπdowe
168;Muzeum Regionalne im. dr. Janusza Petera w Tomaszowie Lubelskim;22-600;TomaszÛw Lubelski;TomaszÛw Lubelski;tomaszowski;LUBELSKIE;ul.;Zamojska;2;;;;;;;;Powiat Tomaszowski (TomaszÛw Lubelski);;;;;Samorzπdowe
169;Muzeum Regionalne im. Dzieci WrzesiÒskich we Wrzeúni ;62-300;Wrzeúnia;Wrzeúnia;wrzesiÒski;WIELKOPOLSKIE;ul.;Dzieci WrzesiÒskich;13;;;;;;;;Miasto i Gmina Wrzeúnia;;;;;Samorzπdowe
170;Muzeum Regionalne im. Hieronima £awniczaka w Krotoszynie;63-700;Krotoszyn;Krotoszyn;krotoszyÒski;WIELKOPOLSKIE;ul.;Ma≥y Rynek;1;;;;;;;;Miasto i Gmina Krotoszyn;;;;;Samorzπdowe
171;Muzeum Regionalne im. prof. Tomasza Mikockiego w Kozienicach;26-900;Kozienice;Kozienice;kozienicki;MAZOWIECKIE;ul.;Parkowa;5B;;;;;;;;Gmina Kozienice;;;;;Samorzπdowe
172;Muzeum Regionalne im. Stanis≥awa Sankowskiego w Radomsku ;97-500;Radomsko;Radomsko;radomszczaÒski;£”DZKIE;ul.;Narutowicza;1;;;;;;;;Miasto Radomsko ;;;;;Samorzπdowe
173;Muzeum Regionalne im. Walentyny Dermackiej z SapiehÛw w Pieckach (w organizacji);11-710;Piecki;Piecki;mrπgowski;WARMI—SKO-MAZURSKIE;ul.;ZwyciÍstwa;48;;;;;;;;Gmina Piecki;;;;;Samorzπdowe
174;Muzeum Regionalne im. W≥. St. Reymonta w Lipcach Reymontowskich;96-127;Lipce Reymontowskie;Lipce Reymontowskie;skierniewicki;£”DZKIE;ul.;Wiatraczna;10;;;;;;;;Powiat Skierniewicki;;;;;Samorzπdowe
175;Muzeum Regionalne im. Zygmunta KrasiÒskiego w Z≥otym Potoku;42-253;Z≥oty Potok (poczta JanÛw);JanÛw;czÍstochowski;åL•SKIE;ul.;Tadeusza Koúciuszki;11;;;;;;;;Gmina JanÛw;;;;;Samorzπdowe
176;Muzeum Regionalne w Be≥chatowie;97-400;Be≥chatÛw;Be≥chatÛw;be≥chatowski;£”DZKIE;ul.;Rodziny HellwigÛw;11;;;;;;;;Miasto Be≥chatÛw;;;;;Samorzπdowe
177;Muzeum Regionalne w Brzezinach;95-060;Brzeziny;Brzeziny;brzeziÒski;£”DZKIE;ul.;Pi≥sudskiego;49;;;;;;;;Gmina Miasto Brzeziny;;;;;Samorzπdowe
178;Muzeum Regionalne w Chojnowie;59-225;ChojnÛw;ChojnÛw;legnicki;DOLNOåL•SKIE;pl.;Zamkowy;3;;;;;;;;Miasto ChojnÛw;;;;;Samorzπdowe
179;Muzeum Regionalne w Cz≥uchowie;77-300;Cz≥uchÛw;Cz≥uchÛw;cz≥uchowski;POMORSKIE;al.;Wojska Polskiego;3;;;;;;;;Gmina Miejska Cz≥uchÛw;;;;;Samorzπdowe
180;Muzeum Regionalne w DÍbicy;39-200;DÍbica;DÍbica;dÍbicki;PODKARPACKIE;ul.;Ratuszowa;4;;;;;;;;Gmina Miasta DÍbica;;;;;Samorzπdowe
181;Muzeum Regionalne w Gniewkowie;88-140;Gniewkowo;Gniewkowo;inowroc≥awski;KUJAWSKO-POMORSKIE;ul.;PodgÛrna;2;;;;;;;;Gmina Gniewkowo;;;;;Samorzπdowe
182;Muzeum Regionalne w Janowie Lubelskim;23-300;JanÛw Lubelski;JanÛw Lubelski;janowski;LUBELSKIE;ul.;Ogrodowa;3a;;;;;;;;Gmina JanÛw Lubelski;;;;;Samorzπdowe
183;Muzeum Regionalne w Jaúle;38-200;Jas≥o;Jas≥o;jasielski;PODKARPACKIE;ul.;Stefana Kadyiego;11;;;;;;;;Miasto Jas≥o;;;;;Samorzπdowe
184;Muzeum Regionalne w Jaworze ;59-400;Jawor;Jawor;jaworski;DOLNOåL•SKIE;ul.;Klasztorna;6;;;;;;;;Gmina Jawor;;;;;Samorzπdowe
185;Muzeum Regionalne w Kluczkowicach;24-300;Kluczkowice;Opole Lubelskie;opolski;LUBELSKIE;ul.;Kluczkowice;7;;;;;;;;Powiat Opolski;;;;;Samorzπdowe
186;Muzeum Regionalne w Krasnymstawie;22-300;Krasnystaw;Krasnystaw;krasnostawski;LUBELSKIE;ul.;Marsza≥ka JÛzefa Pi≥sudskiego;5A;;;;;;;;Powiat Krasnostawski;;;;;Samorzπdowe
187;Muzeum Regionalne w Kutnie;99-300;Kutno;Kutno;kutnowski;£”DZKIE;pl.;JÛzefa Pi≥sudskiego;20;;;;;;;;Miasto Kutno;;;;;Samorzπdowe
188;Muzeum Regionalne w Lubaniu;59-800;LubaÒ;LubaÒ;lubaÒski;DOLNOåL•SKIE;;Rynek - Ratusz ;;;;;;;;;Gmina Miejska LubaÒ;;;;;Samorzπdowe
189;Muzeum Regionalne w £ukowie;21-400;£ukÛw;£ukÛw;≥ukowski;LUBELSKIE;ul.;Pi≥sudskiego;19;;;;;;;;Powiat £ukowski;;;;;Samorzπdowe
190;Muzeum Regionalne w Opocznie;26-300;Opoczno;Opoczno;opoczyÒski;£”DZKIE;pl.;Zamkowy;1;;;;;;;;Gmina Opoczno;;;;;Samorzπdowe
